segment,sentiment,quote
Students & Budget-Conscious,positive,"If it's on promo near the exam period I'll grab a pack, otherwise it's a stretch."
Students & Budget-Conscious,negative,"Honestly 2,50EUR for a can is a hard no on a student budget, whatever is inside it."
Students & Budget-Conscious,mixed,I like the idea but I'd only buy it if my usual energy drink was sold out.
Urban Wellness Professionals,positive,"I switched most of my afternoon coffee runs to something like this, I don't mind paying more for clean ingredients."
Urban Wellness Professionals,positive,"The adaptogen angle is what gets me, not the caffeine."
Urban Wellness Professionals,negative,"Too many wellness brands taste like medicine, that's the real risk here, not the price."
Fitness & Gym-Goers,positive,If it performs like VoltFit but tastes better I'm switching immediately.
Fitness & Gym-Goers,mixed,I care about the caffeine source but I'm not going to overpay just for a nicer can.
Fitness & Gym-Goers,negative,"My gym already sells three energy drinks, it needs a real reason to take shelf space."
On-the-go Commuters,positive,"Grab and go is everything for me, if it's not at the kiosk near the station I'll never try it."
On-the-go Commuters,mixed,"I'd try it once out of curiosity, repeat purchase depends entirely on taste."
On-the-go Commuters,negative,"One more canned drink option at the kiosk doesn't move me, I buy on habit."
